PSRJ;RAJ;DECJ;DM;P0;S400;
J2129+1210A;21:29:58.2;+12:10:01.2;67.31;0.110665;1.70;
J0636+5129;06:36:04.8;+51:28:59.9;11.11;0.002869;1.80;
J1745-0952;17:45:09.1;-09:52:39.6;64.47;0.019376;1.80;
J1941+1026;19:41:32.3;+10:26:25.6;138.91;0.905394;1.80;
J2048+2255;20:48:45.8;+22:55:05.3;70.68;0.283901;1.80;
J0614+83;06:14;+83:14;44.00;1.039203;1.90;
J1911+1758;19:11:55.3;+17:58:45.7;48.98;0.460406;1.90;
J1915+0738;19:15:24.8;+07:38:31.4;39.00;1.542704;1.90;
J1944+1755;19:44:31.8;+17:55:42.4;175.00;1.996899;1.90;
J2305+4707;23:05:55.8;+47:07:45.3;62.07;1.066371;1.90;
J0023+0923;00:23:16.8;+09:23:23.8;14.33;0.003050;2.00;
J0340+4130;03:40:23.2;+41:30:45.2;49.59;0.003299;2.00;
J0435+2749;04:35:51.8;+27:49:01.7;53.19;0.326279;2.00;
J0448-2749;04:48:41.5;-27:49:47;26.22;0.450448;2.00;
J1238+2152;12:38:23.1;+21:52:11;17.97;1.118591;2.00;
J1933+1304;19:33:22.5;+13:04:49.9;177.01;0.928324;2.00;
J1936+1536;19:36:01.5;+15:36:36.0;165.00;0.967338;2.00;
J2037+1942;20:37:14.5;+19:42:54.3;36.89;2.074377;2.00;
J2307+2225;23:07:41.2;+22:25:50.1;7.02;0.535829;2.00;
J0600-5756;06:00:46.5;-57:56:54;30.00;2.261365;2.10;
J1830-1059;18:30:47.5;-10:59:26.5;159.70;0.405073;2.10;
J1938+6604;19:38:56.9;+66:04:31.7;41.24;0.022259;2.10;
J2155+2813;21:55:15.8;+28:13:12.1;77.13;1.609020;2.10;
J2155-5641;21:55:01.4;-56:41:57;14.00;1.373654;2.10;
J1807+0756;18:07:51.2;+07:56:43.3;89.29;0.464300;2.16;
J1453+1902;14:53:45.7;+19:02:12.1;14.06;0.005792;2.20;
J1811+0702;18:11:20.4;+07:02:29.7;57.80;0.461713;2.20;
J1823-3021B;18:23:41.5;-30:21:40.9;87.01;0.378596;2.20;
J1916-2939;19:16:32.7;-29:39:27.8;38.34;1.248617;2.20;
J1927+1856;19:27:24.9;+18:56:36.8;99.00;0.298313;2.20;
J1953+1149;19:53:47.4;+11:49:42.6;140.03;0.851890;2.20;
J0048+3412;00:48:33.9;+34:12:08;39.92;1.217094;2.30;
J1645+1012;16:45:34.4;+10:12:16.0;36.17;0.410861;2.30;
J1848+0647;18:48:56.0;+06:47:31.7;27.90;0.505957;2.30;
