PSRJ;RAJ;DECJ;DM;P0;S400;
J1900-2600;19:00:47.5;-26:00:43.8;37.99;0.612209;131.00;
J1327-6222;13:27:17.1;-62:22:45.4;318.80;0.529929;135.00;
J1157-6224;11:57:15.2;-62:24:50.9;325.20;0.400526;145.00;
J1948+3540;19:48:25.0;+35:40:11.0;129.37;0.717311;145.00;
J1820-0427;18:20:52.5;-04:27:37.7;84.44;0.598082;157.00;
J1901+0331;19:01:31.7;+03:31:05.9;402.08;0.655450;165.00;
J0738-4042;07:38:32.2;-40:42:39.4;160.90;0.374921;190.00;
J1731-4744;17:31:42.1;-47:44:36.2;123.06;0.829829;190.00;
J0837-4135;08:37:21.1;-41:35:14.5;147.29;0.751625;197.00;
J0630-2834;06:30:49.4;-28:34:42.7;34.42;1.244419;206.00;
J1453-6413;14:53:32.6;-64:13:16.0;71.25;0.179487;230.00;
J2113+4644;21:13:24.3;+46:44:08.8;141.26;1.014685;230.00;
J1939+2134;19:39:38.5;+21:34:59.1;71.02;0.001558;240.00;
J1935+1616;19:35:47.8;+16:16:39.9;158.52;0.358738;242.00;
J1136+1551;11:36:03.1;+15:51:14.1;4.84;1.187913;257.00;
J0742-2822;07:42:49.0;-28:22:43.7;73.73;0.166762;296.00;
J1932+1059;19:32:14.0;+10:59:33.3;3.18;0.226519;303.00;
J2018+2839;20:18:03.8;+28:39:54.2;14.20;0.557953;314.00;
J1456-6843;14:55:59.9;-68:43:39.5;8.64;0.263377;350.00;
J0341+5711;03:41;+57:11;100.00;1.888000;364.70;
J1644-4559;16:44:49.2;-45:59:09.7;478.80;0.455078;375.00;
J1645-0317;16:45:02.0;-03:17:57.8;35.76;0.387690;393.00;
J0953+0755;09:53:09.3;+07:55:35.7;2.97;0.253065;400.00;
J0437-4715;04:37:15.8;-47:15:09.1;2.64;0.005757;550.00;
J0534+2200;05:34:31.9;+22:00:52.0;56.77;0.033392;550.00;
J1752-2806;17:52:58.6;-28:06:37.3;50.37;0.562558;1100.00;
J0332+5434;03:32:59.4;+54:34:43.3;26.76;0.714520;1500.00;
J0835-4510;08:35:20.6;-45:10:34.8;67.97;0.089328;5000.00;
